id,created_at,text,source,category,votesInteresting,votesMindblowing,votesFalse
1,2026-07-10 06:13:28.9631+00,The first computer bug was an actual moth found in a relay.,Computer History Museum,technology,72,56,1
2,2026-07-10 06:13:28.9631+00,A day on Venus is longer than a year on Venus.,NASA,science,91,67,5
3,2026-07-10 06:13:28.9631+00,Compound interest can cause savings to grow faster over long periods.,Investopedia,finance,76,44,2
4,2026-07-10 06:13:28.9631+00,Cows can form social bonds and may show stress when separated from companions.,University of Northampton,society,46,25,6
5,2026-07-10 06:13:28.9631+00,The shortest war in recorded history lasted less than an hour.,Britannica,history,64,39,7
6,2026-07-10 06:13:28.9631+00,The Eiffel Tower can grow slightly taller in hot weather because metal expands.,Eiffel Tower Official,science,35,21,4
7,2026-07-10 06:13:28.9631+00,The Great Wall of China is not visible from the Moon with the naked eye.,NASA,history,70,46,22
8,2026-07-10 06:13:28.9631+00,Chess has more possible games than atoms in the observable universe.,Chess.com,entertainment,79,69,15
9,2026-07-10 06:13:28.9631+00,The human brain uses roughly 20 percent of the body's energy at rest.,Harvard Medical School,health,61,37,14
10,2026-07-10 06:13:28.9631+00,A group of flamingos is called a flamboyance.,San Diego Zoo Wildlife Alliance,culture,27,14,1
11,2026-07-10 06:13:28.9631+00,Lightning can heat the air around it to temperatures hotter than the surface of the Sun.,NOAA,science,83,62,9
12,2026-07-10 06:13:28.9631+00,"The first oranges were green, not orange.",Smithsonian Magazine,culture,39,19,17
13,2026-07-10 06:13:28.9631+00,A cloud can weigh more than a million pounds.,UCAR Center for Science Education,science,74,52,13
14,2026-07-10 06:13:28.9631+00,The Olympic Games were held in ancient Greece more than two thousand years ago.,Olympics,sports,58,31,8
15,2026-07-10 06:13:28.9631+00,Electronic mail was developed before the World Wide Web.,Internet Society,technology,67,48,12
16,2026-07-10 06:13:28.9631+00,Global stock markets react quickly to major interest-rate decisions.,International Monetary Fund,finance,54,33,4
17,2026-07-10 06:13:28.9631+00,"Public libraries provide free access to books, internet services, and community programs.",UNESCO,society,49,28,11
18,2026-07-10 06:13:28.9631+00,Films with synchronized sound became widely popular in the late 1920s.,Academy Museum of Motion Pictures,entertainment,42,18,3
19,2026-07-10 06:13:28.9631+00,Handwashing with soap helps reduce the spread of many infections.,World Health Organization,health,88,72,6
20,2026-07-10 06:13:28.9631+00,Breaking news reports may change as more verified information becomes available.,Reuters Institute,news,93,81,10
